Structure,Treatment,Position,Species,Date0,Length_cm0,Width1_cm0,Width2_cm0,EV0,Survival0,Comments0,Date1,Length_cm1,Width1_cm1,Width2_cm1,EV1,Survival1,Comments1
Table 001,Floating table,1_1_1,Acropora formosa,30-Aug-19,6.7,3.3,2.7,47,100,,03-Feb-20,,,,0,0,MISSING
Table 001,Floating table,1_1_2,Acropora formosa,30-Aug-19,5.9,3.9,3.2,58,100,,03-Feb-20,9.8,5.4,6.1,252,100,
Table 001,Floating table,1_1_3,Acropora formosa,30-Aug-19,7.5,1.7,2.2,22,100,,03-Feb-20,12.9,6.4,7.8,512,100,
Table 001,Floating table,1_1_4,Acropora formosa,30-Aug-19,4.4,2.7,2,19,100,,03-Feb-20,15,4.7,5.3,297,100,
Table 001,Floating table,1_1_5,Acropora formosa,30-Aug-19,5.9,4.2,3.4,67,100,,03-Feb-20,10.1,6.2,8.2,410,100,
Table 001,Floating table,1_2_1,Acropora verweyi,30-Aug-19,3.7,1.9,0,3,,Not vissible,03-Feb-20,8.7,5.3,4.3,156,100,
Table 001,Floating table,1_2_2,Acropora verweyi,30-Aug-19,6.6,5.3,4,112,100,,03-Feb-20,8.9,7.6,6.3,338,100,
Table 001,Floating table,1_2_3,Acropora verweyi,30-Aug-19,4.6,4.3,3.2,51,100,,03-Feb-20,9.5,7.7,8.2,472,100,
Table 001,Floating table,1_2_4,Acropora verweyi,30-Aug-19,6,5.4,3.1,85,100,,03-Feb-20,12.8,12.2,5.7,804,100,
Table 001,Floating table,1_2_5,Acropora verweyi,30-Aug-19,4,3.2,1.2,15,100,,03-Feb-20,8.2,5.6,5.5,195,100,
Table 001,Floating table,2_1_1,Acropora formosa,30-Aug-19,4.1,2.9,2.5,23,100,,03-Feb-20,,,,0,0,missing
Table 001,Floating table,2_1_2,Acropora formosa,30-Aug-19,3.9,3,1.9,18,100,,03-Feb-20,8.5,4.1,4.3,116,100,
Table 001,Floating table,2_1_3,Acropora formosa,30-Aug-19,6.4,2.1,2,20,100,,03-Feb-20,10.4,5.5,5.7,257,100,
Table 001,Floating table,2_1_4,Acropora formosa,30-Aug-19,5.7,2.7,2.2,27,100,,03-Feb-20,13.4,7.4,4.3,361,100,
Table 001,Floating table,2_1_5,Acropora formosa,30-Aug-19,8.1,1.9,1.9,23,100,,03-Feb-20,15.3,6.6,6.2,488,100,
Table 001,Floating table,2_2_1,Acropora verweyi,30-Aug-19,4.2,4.8,4.8,76,100,,03-Feb-20,8.4,7,6,281,100,
Table 001,Floating table,2_2_2,Acropora verweyi,30-Aug-19,5.4,3,2.4,31,100,,03-Feb-20,8.1,6.1,4.8,188,100,
Table 001,Floating table,2_2_3,Acropora verweyi,30-Aug-19,6.2,4,2.7,54,100,,03-Feb-20,13.5,9.4,8.5,847,100,
Table 001,Floating table,2_2_4,Acropora verweyi,30-Aug-19,6.1,2.6,2.2,28,100,,03-Feb-20,11.4,7.7,5.9,412,100,
Table 001,Floating table,2_2_5,Acropora verweyi,30-Aug-19,5.7,3.4,1.6,28,100,,03-Feb-20,9.7,8.2,6.5,410,100,
Table 001,Floating table,3_1_1,Acropora formosa,30-Aug-19,5,1.8,1.6,12,100,,03-Feb-20,10.8,4.4,4.5,167,100,
Table 001,Floating table,3_1_2,Acropora formosa,30-Aug-19,3.8,4.2,2.9,38,100,,03-Feb-20,8.9,7.6,5.8,311,100,
Table 001,Floating table,3_1_3,Acropora formosa,30-Aug-19,5.4,4.7,3.5,70,100,,03-Feb-20,11.8,10.5,9.4,918,90,algae
Table 001,Floating table,3_1_4,Acropora formosa,30-Aug-19,6.3,4.1,3.9,80,100,,03-Feb-20,11.4,10.8,8.9,867,100,
Table 001,Floating table,3_1_5,Acropora formosa,30-Aug-19,4.5,5.9,2.8,66,100,,03-Feb-20,11.4,8.2,6.4,475,100,
Table 001,Floating table,3_2_1,Acropora verweyi,30-Aug-19,5.2,1.6,1.5,10,100,,03-Feb-20,10.2,5.1,4.6,187,90,algae
Table 001,Floating table,3_2_2,Acropora verweyi,30-Aug-19,2.6,2.4,1.3,7,100,,03-Feb-20,4.3,2.9,2.5,24,100,
Table 001,Floating table,3_2_3,Acropora verweyi,30-Aug-19,5.4,5.2,3.7,84,100,,03-Feb-20,6.8,4.7,5.5,139,100,
Table 001,Floating table,3_2_4,Acropora verweyi,30-Aug-19,4.3,4.3,3.1,46,100,,03-Feb-20,10.8,10.4,6.7,617,100,
Table 001,Floating table,3_2_5,Acropora verweyi,30-Aug-19,4.9,2.7,2.7,28,100,,03-Feb-20,12.3,10,9.6,918,100,
Table 001,Floating table,4_1_1,Pocillopora verrucosa,30-Aug-19,4.9,5.1,2.4,54,100,,03-Feb-20,8.4,7.1,6.7,309,100,
Table 001,Floating table,4_1_2,Pocillopora verrucosa,30-Aug-19,4.3,3.9,2.7,36,100,,03-Feb-20,7,6.7,6.7,246,100,
Table 001,Floating table,4_1_3,Pocillopora verrucosa,30-Aug-19,4.2,5.4,2.1,47,100,,03-Feb-20,8.8,7.4,6.5,330,100,
Table 001,Floating table,4_1_4,Pocillopora verrucosa,30-Aug-19,2.5,2.5,2.1,11,100,,03-Feb-20,4.6,4.9,4.2,75,100,
Table 001,Floating table,4_1_5,Pocillopora verrucosa,30-Aug-19,7.1,6.2,2.6,106,100,,03-Feb-20,11.3,9.2,5.9,510,100,
Table 001,Floating table,4_2_1,Porites cylindrica,30-Aug-19,6.1,2.5,1.5,19,90,,03-Feb-20,4.3,3.3,7.4,95,60,
Table 001,Floating table,4_2_2,Porites cylindrica,30-Aug-19,6.7,3.2,2.3,39,80,,03-Feb-20,8.2,5.6,4.8,173,80,
Table 001,Floating table,4_2_3,Porites cylindrica,30-Aug-19,4.9,4.4,2.9,51,90,,03-Feb-20,8.4,6.1,5.5,222,90,
Table 001,Floating table,4_2_4,Porites cylindrica,30-Aug-19,4.9,4.2,2.4,41,100,,03-Feb-20,6,4.7,3.6,82,90,
Table 001,Floating table,4_2_5,Porites cylindrica,30-Aug-19,5.4,3,1.8,24,90,,03-Feb-20,7.8,4.3,3.1,83,90,
Table 001,Floating table,5_1_1,Pocillopora verrucosa,30-Aug-19,4.5,2.2,2.3,18,100,,03-Feb-20,7,4.2,4.5,105,100,
Table 001,Floating table,5_1_2,Pocillopora verrucosa,30-Aug-19,4.3,2.4,1.9,16,100,,03-Feb-20,8.5,7.2,5.5,266,100,
Table 001,Floating table,5_1_3,Pocillopora verrucosa,30-Aug-19,4,2.9,2.5,23,100,,03-Feb-20,6.4,5.1,3.9,101,100,
Table 001,Floating table,5_1_4,Pocillopora verrucosa,30-Aug-19,4.3,4.2,2.3,35,100,,03-Feb-20,7.6,7.8,5.2,256,100,
Table 001,Floating table,5_1_5,Pocillopora verrucosa,30-Aug-19,4,4.1,2.4,33,100,,03-Feb-20,7.8,6.8,5.8,244,100,
Table 001,Floating table,5_2_1,Porites cylindrica,30-Aug-19,6.7,2.7,1.8,26,90,,03-Feb-20,8.1,3.8,4.3,104,100,
